,ZONE CHART,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,,
1,UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,
2,,,,,,,,,
3,For shipments originating in ZIP Codes 461-01 to 461-99. To determine zone,,,,,,,,
4,take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,
5,,,,,,,,,
6,ZONES,,,,,,,,
7,Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,
8,005,005,305,205,245,135,105,,
9,006,045,-,225,-,-,125,,
10,007,045,-,225,-,-,125,,
11,009,045,-,225,-,-,125,,
12,010,005,305,205,245,135,105,,
13,011,005,305,205,245,135,105,,
14,012,005,305,205,245,135,105,,
15,013,005,305,205,245,135,105,,
16,014,005,305,205,245,135,105,,
17,015,005,305,205,245,135,105,,
18,016,005,305,205,245,135,105,,
19,017,005,305,205,245,135,105,,
20,018,005,305,205,245,135,105,,
21,019,005,305,205,245,135,105,,
22,020,005,305,205,245,135,105,,
23,021,005,305,205,245,135,105,,
24,022,005,305,205,245,135,105,,
25,023,005,305,205,245,135,105,,
26,024,005,305,205,245,135,105,,
27,025,005,305,205,245,135,105,,
28,026,005,305,205,245,135,105,,
29,027,005,305,205,245,135,105,,
30,028,005,305,205,245,135,105,,
31,029,005,305,205,245,135,105,,
32,030,005,305,205,245,135,105,,
33,031,005,305,205,245,135,105,,
34,032,005,305,205,245,135,105,,
35,033,005,305,205,245,135,105,,
36,034,005,305,205,245,135,105,,
37,035,005,305,205,245,135,105,,
38,036,005,305,205,245,135,105,,
39,037,005,305,205,245,135,105,,
40,038,005,305,205,245,135,105,,
41,039,005,305,205,245,135,105,,
42,040,005,305,205,245,135,105,,
43,041,005,305,205,245,135,105,,
44,042,005,305,205,245,135,105,,
45,043,005,305,205,245,135,105,,
46,044,005,305,205,245,135,105,,
47,045,005,305,205,245,135,105,,
48,046,005,305,205,245,135,105,,
49,047,005,305,205,245,135,105,,
50,048,005,305,205,245,135,105,,
51,049,005,305,205,245,135,105,,
52,050,005,305,205,245,135,105,,
53,051,005,305,205,245,135,105,,
54,052,005,305,205,245,135,105,,
55,053,005,305,205,245,135,105,,
56,054,005,305,205,245,135,105,,
57,055,005,305,205,245,135,105,,
58,056,005,305,205,245,135,105,,
59,057,005,305,205,245,135,105,,
60,058,005,305,205,245,135,105,,
61,059,005,305,205,245,135,105,,
62,060,005,305,205,245,135,105,,
63,061,005,305,205,245,135,105,,
64,062,005,305,205,245,135,105,,
65,063,005,305,205,245,135,105,,
66,064,005,305,205,245,135,105,,
67,065,005,305,205,245,135,105,,
68,066,005,305,205,245,135,105,,
69,067,005,305,205,245,135,105,,
70,068,005,305,205,245,135,105,,
71,069,005,305,205,245,135,105,,
72,070,005,305,205,245,135,105,,
73,071,005,305,205,245,135,105,,
74,072,005,305,205,245,135,105,,
75,073,005,305,205,245,135,105,,
76,074,005,305,205,245,135,105,,
77,075,005,305,205,245,135,105,,
78,076,005,305,205,245,135,105,,
79,077,005,305,205,245,135,105,,
80,078,004,304,204,244,134,104,,
81,079,005,305,205,245,135,105,,
82,080,004,304,204,244,134,104,,
83,081,004,304,204,244,134,104,,
84,082,004,304,204,244,134,104,,
85,083,004,304,204,244,134,104,,
86,084,004,304,204,244,134,104,,
87,085,005,305,205,245,135,105,,
88,086,005,305,205,245,135,105,,
89,087,005,305,205,245,135,105,,
90,088,005,305,205,245,135,105,,
91,089,005,305,205,245,135,105,,
92,100,005,305,205,245,135,105,,
93,101,005,305,205,245,135,105,,
94,102,005,305,205,245,135,105,,
95,103,005,305,205,245,135,105,,
96,104,005,305,205,245,135,105,,
97,105,005,305,205,245,135,105,,
98,106,005,305,205,245,135,105,,
99,107,005,305,205,245,135,105,,
100,108,005,305,205,245,135,105,,
101,109,005,305,205,245,135,105,,
102,110,005,305,205,245,135,105,,
103,111,005,305,205,245,135,105,,
104,112,005,305,205,245,135,105,,
105,113,005,305,205,245,135,105,,
106,114,005,305,205,245,135,105,,
107,115,005,305,205,245,135,105,,
108,116,005,305,205,245,135,105,,
109,117,005,305,205,245,135,105,,
110,118,005,305,205,245,135,105,,
111,119,005,305,205,245,135,105,,
112,120,005,305,205,245,135,105,,
113,121,005,305,205,245,135,105,,
114,122,005,305,205,245,135,105,,
115,123,005,305,205,245,135,105,,
116,124,004,304,204,244,134,104,,
117,125,005,305,205,245,135,105,,
118,126,005,305,205,245,135,105,,
119,127,004,304,204,244,134,104,,
120,128,005,305,205,245,135,105,,
121,129,004,304,204,244,134,104,,
122,130,004,304,204,244,134,104,,
123,131,004,304,204,244,134,104,,
124,132,004,304,204,244,134,104,,
125,133,004,304,204,244,134,104,,
126,134,004,304,204,244,134,104,,
127,135,004,304,204,244,134,104,,
128,136,004,304,204,244,134,104,,
129,137,004,304,204,244,134,104,,
130,138,004,304,204,244,134,104,,
131,139,004,304,204,244,134,104,,
132,140,004,304,204,244,134,104,,
133,141,004,304,204,244,134,104,,
134,142,004,304,204,244,134,104,,
135,143,004,304,204,244,134,104,,
136,144,004,304,204,244,134,104,,
137,145,004,304,204,244,134,104,,
138,146,004,304,204,244,134,104,,
139,147,004,304,204,244,134,104,,
140,148,004,304,204,244,134,104,,
141,149,004,304,204,244,134,104,,
142,150,004,304,204,244,134,104,,
143,151,004,304,204,244,134,104,,
144,152,004,304,204,244,134,104,,
145,153,004,304,204,244,134,104,,
146,154,004,304,204,244,134,104,,
147,155,004,304,204,244,134,104,,
148,156,004,304,204,244,134,104,,
149,157,004,304,204,244,134,104,,
150,158,004,304,204,244,134,104,,
151,159,004,304,204,244,134,104,,
152,160,004,304,204,244,134,104,,
153,161,003,303,203,243,133,103,,
154,162,004,304,204,244,134,104,,
155,163,004,304,204,244,134,104,,
156,164,004,304,204,244,134,104,,
157,165,004,304,204,244,134,104,,
158,166,004,304,204,244,134,104,,
159,167,004,304,204,244,134,104,,
160,168,004,304,204,244,134,104,,
161,169,004,304,204,244,134,104,,
162,170,004,304,204,244,134,104,,
163,171,004,304,204,244,134,104,,
164,172,004,304,204,244,134,104,,
165,173,004,304,204,244,134,104,,
166,174,004,304,204,244,134,104,,
167,175,004,304,204,244,134,104,,
168,176,004,304,204,244,134,104,,
169,177,004,304,204,244,134,104,,
170,178,004,304,204,244,134,104,,
171,179,004,304,204,244,134,104,,
172,180,004,304,204,244,134,104,,
173,181,004,304,204,244,134,104,,
174,182,004,304,204,244,134,104,,
175,183,004,304,204,244,134,104,,
176,184,004,304,204,244,134,104,,
177,185,004,304,204,244,134,104,,
178,186,004,304,204,244,134,104,,
179,187,004,304,204,244,134,104,,
180,188,004,304,204,244,134,104,,
181,189,004,304,204,244,134,104,,
182,190,004,304,204,244,134,104,,
183,191,004,304,204,244,134,104,,
184,192,004,304,204,244,134,104,,
185,193,004,304,204,244,134,104,,
186,194,004,304,204,244,134,104,,
187,195,004,304,204,244,134,104,,
188,196,004,304,204,244,134,104,,
189,197,004,304,204,244,134,104,,
190,198,004,304,204,244,134,104,,
191,199,004,304,204,244,134,104,,
192,200,004,304,204,244,134,104,,
193,201,004,304,204,244,134,104,,
194,202,004,304,204,244,134,104,,
195,203,004,304,204,244,134,104,,
196,204,004,304,204,244,134,104,,
197,205,004,304,204,244,134,104,,
198,206,004,304,204,244,134,104,,
199,207,004,304,204,244,134,104,,
200,208,004,304,204,244,134,104,,
201,209,004,304,204,244,134,104,,
202,210,004,304,204,244,134,104,,
203,211,004,304,204,244,134,104,,
204,212,004,304,204,244,134,104,,
